,id,ct_median_income
0,6901257,100805
1,6304928,84018
2,7919400,55370
3,13418779,88929
4,3808709,79904
5,12422935,136780
6,11825529,100442
7,13971273,69271
8,180792,74500
9,5385260,42430
10,5578513,66835
11,17423675,105000
12,14066228,86250
13,2658946,154402
14,583490,59460
15,6226658,43650
16,7499179,95313
17,14648556,122264
18,17589436,61750
19,18224863,44063
20,7264511,62750
21,16679342,37359
22,3563677,69271
23,17615783,87423
24,2479317,89340
25,14122244,76818
26,19407360,57412
27,14490881,50425
28,851978,-666666666
29,4734170,120933
30,421056,32899
31,5520582,59018
32,8908966,61983
33,10994968,77108
34,5559765,75632
35,15705862,37168
36,16904896,91206
37,4209927,72344
38,12232154,87276
39,4680055,117378
40,19813606,92179
41,18191678,53311
42,12428036,25530
43,4014942,80906
44,11376382,100442
45,15238989,85828
46,18004987,65833
47,5117069,60450
48,16246049,47255
49,17708004,40612
50,13435559,43409
51,17621139,130266
52,3530517,110417
53,13412641,62649
54,17078757,125203
55,6443678,54007
56,8926164,120244
57,17556957,123649
58,2503128,38321
59,9471893,86579
60,4274462,101778
61,1948096,107237
62,11712092,137469
63,20918988,96250
64,5806687,123649
65,16474211,91968
66,15187281,42599
67,20269518,55653
68,19247305,28424
69,11095719,41209
70,4285537,154402
71,14668858,106872
72,7822736,45129
73,15990686,41118
74,19135811,81288
75,15956956,40453
76,6924942,92143
77,6972777,129083
78,14253838,72601
79,20738762,25309
80,16221430,127904
81,13398011,50236
82,18472310,56768
83,18524434,113819
84,19225024,89896
85,18840866,40405
86,2586472,37227
87,20761244,78723
88,3976798,135011
89,17812291,58690
90,1168086,37234
91,19692298,53385
92,262343,67981
93,15734037,79453
94,5011392,106806
95,1830541,47770
96,4576821,129464
97,1008814,91968
98,7226513,68092
99,13858669,207460
100,14873270,47477
101,10132073,78558
102,314248,104097
103,2165604,35246
104,14900814,45306
105,11593024,84063
106,17497912,74828
107,16490513,35246
108,15282612,145387
109,235281,119375
110,9335247,53523
111,15792652,112500
112,4666794,53311
113,20632389,99375
114,20979364,114000
115,4588783,32180
116,8336708,102017
117,16802965,32347
118,14228669,35732
119,7316104,74193
120,25827,71165
121,7827907,144886
122,13900931,106987
123,12068,35242
124,9994860,64933
125,13510326,102281
126,17520883,52594
127,2618997,131127
128,8813451,76354
129,8781837,36957
130,14641006,90253
131,1742144,40694
132,15772294,46083
133,2278299,84007
134,16253186,107019
135,13615270,69833
136,11797378,70972
137,1089240,62132
138,11461331,35694
139,16186033,33229
140,6555586,100442
141,457555,110592
142,6599827,60450
143,9057393,98608
144,20997664,45893
145,14555269,125108
146,20958545,77305
147,18649822,35242
148,498052,47650
149,17860272,69363
150,14916417,20902
151,10574818,113750
152,18434133,47935
153,20199218,100357
154,2050565,122074
155,10575738,123438
156,6438568,52594
157,1411264,74875
158,6033550,39259
159,51073,36052
160,14568366,60450
161,8442997,114697
162,783533,101142
163,6886174,104545
164,12872822,96806
165,2604409,76667
166,12208881,122074
167,6374167,72601
168,10638806,98608
169,10839763,39760
170,20409623,52426
171,17703855,94875
172,11610316,44750
173,10228764,76791
174,6717232,72439
175,19729961,136168
176,4098271,134722
177,3630424,49521
178,16641,150670
179,17575812,38176
180,11588543,58033
181,19211691,47255
182,18058045,112500
183,3238142,31129
184,11257690,46140
185,6181322,51948
186,19845637,47793
187,15942310,107237
188,4884601,56298
189,7144212,120291
190,11190379,42430
191,20568215,60875
192,11473041,84018
193,14698794,45372
194,2259813,123160
195,19981334,45307
196,20034233,111250
197,7483034,68438
198,2664975,91905
199,16131645,26822
200,7575345,71667
201,13766593,101477
202,14964764,41726
203,16122163,66698
204,20054400,26971
205,2754149,51699
206,11760628,91351
207,8642982,56250
208,19506327,91667
209,14783267,38968
210,1048797,72601
211,7771546,100442
212,19737908,82589
213,17330389,114722
214,982304,69818
215,624248,33536
216,13616847,140152
217,13654448,107143
218,19474011,35242
219,4258491,41527
220,4879306,58690
221,1550146,92132
222,12952172,65421
223,5940622,167188
224,21024236,83750
225,9786021,42500
226,15300708,69833
227,10175033,32411
228,15806332,102165
229,2134400,62414
230,11927300,40612
231,16431249,143065
232,12265833,77254
233,11047668,48537
234,9602518,58838
235,4645486,111875
236,12757706,149886
237,14559074,135651
238,20706278,37846
239,18196542,37632
240,3750257,154402
241,17712350,34107
242,11659296,146458
243,13018127,42986
244,18687283,73182
245,5885130,55040
246,8986585,180742
247,18265842,92174
248,7773967,79357
249,13795421,44470
250,7955984,86307
251,18125983,114340
252,20590180,73056
253,515260,44493
254,15146022,61696
255,455801,41587
256,1887489,26071
257,3167974,31401
